order_number,status,matched_customer,order_status,delivery_date,total_amount,items,attempts,error,timestamp
CM0002153415,not_found,,,,,,195,,2025-09-29T18:52:41.674128
CM0002153416,not_found,,,,,,195,,2025-09-29T18:52:43.771853
CM0002153417,not_found,,,,,,195,,2025-09-29T18:52:45.871482
CM0002153418,not_found,,,,,,195,,2025-09-29T18:52:47.970939
CM0002153419,not_found,,,,,,195,,2025-09-29T18:52:50.069335
CM0002153420,not_found,,,,,,195,,2025-09-29T18:52:52.169515
CM0002153421,not_found,,,,,,195,,2025-09-29T18:52:54.267931
CM0002153422,not_found,,,,,,195,,2025-09-29T18:52:56.365672
CM0002153423,not_found,,,,,,195,,2025-09-29T18:52:58.464780
CM0002153424,not_found,,,,,,195,,2025-09-29T18:53:00.563770
CM0002153425,not_found,,,,,,195,,2025-09-29T18:53:02.661976
CM0002153426,not_found,,,,,,195,,2025-09-29T18:53:04.760525
CM0002153427,not_found,,,,,,195,,2025-09-29T18:53:06.831585
CM0002153428,not_found,,,,,,195,,2025-09-29T18:53:08.930767
CM0002153429,not_found,,,,,,195,,2025-09-29T18:53:11.016256
CM0002153430,not_found,,,,,,195,,2025-09-29T18:53:13.119349
CM0002153431,not_found,,,,,,195,,2025-09-29T18:53:15.218155
CM0002153432,not_found,,,,,,195,,2025-09-29T18:53:17.316078
CM0002153433,not_found,,,,,,195,,2025-09-29T18:53:19.415545
CM0002153434,not_found,,,,,,195,,2025-09-29T18:53:21.514176
CM0002153435,not_found,,,,,,195,,2025-09-29T18:53:23.612998
CM0002153436,not_found,,,,,,195,,2025-09-29T18:53:25.713153
CM0002153437,not_found,,,,,,195,,2025-09-29T18:53:27.808287
CM0002153438,not_found,,,,,,195,,2025-09-29T18:53:29.906267
CM0002153439,not_found,,,,,,195,,2025-09-29T18:53:32.004248
CM0002153440,not_found,,,,,,195,,2025-09-29T18:53:34.102474
CM0002153441,not_found,,,,,,195,,2025-09-29T18:53:36.201441
CM0002153442,not_found,,,,,,195,,2025-09-29T18:53:38.301619
CM0002153443,not_found,,,,,,195,,2025-09-29T18:53:40.396097
CM0002153444,not_found,,,,,,195,,2025-09-29T18:53:42.494959
CM0002153445,not_found,,,,,,195,,2025-09-29T18:53:44.594895
